team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating
1610612740,2018-19,-1.3,0.563,0.498,0.089,0.197,0.288,3.4
1610612752,2018-19,-8.9,0.529,0.442,0.105,0.154,0.148,-5.1
1610612760,2018-19,3.4,0.545,0.506,0.5,1.0,0.333,0.0
1610612753,2018-19,0.6,0.55,0.508,0.071,0.218,0.216,25.0
1610612755,2018-19,2.6,0.574,0.529,0.075,0.196,0.327,7.6
1610612756,2018-19,-8.9,0.552,0.45,0.101,0.139,0.21,-8.1
1610612757,2018-19,4.2,0.568,0.521,0.023,0.155,0.281,8.2
1610612758,2018-19,-1.2,0.554,0.495,0.092,0.124,0.237,-3.2
1610612759,2018-19,1.6,0.572,0.516,0.096,0.143,0.268,1.5
1610612761,2018-19,5.8,0.579,0.533,0.039,0.172,0.3,7.9
1610612762,2018-19,5.0,0.572,0.539,0.117,0.17,0.175,6.9
1610612764,2018-19,-2.7,0.567,0.487,0.067,0.212,0.214,25.8
1610612737,2019-20,-7.4,0.554,0.454,0.014,0.16,0.339,-4.9
1610612738,2019-20,6.3,0.57,0.531,0.036,0.241,0.25,12.7
1610612751,2019-20,-0.5,0.554,0.5,0.105,0.168,0.136,-1.8
1610612766,2019-20,-7.0,0.539,0.455,0.105,0.144,0.222,-2.6
1610612741,2019-20,-3.1,0.547,0.466,0.019,0.13,0.312,-4.4
1610612739,2019-20,-7.9,0.553,0.453,0.0,0.308,0.0,57.1
1610612742,2019-20,4.8,0.581,0.521,0.036,0.194,0.355,5.3
1610612743,2019-20,2.2,0.567,0.517,0.073,0.179,0.266,4.5
1610612765,2019-20,-3.5,0.561,0.473,0.079,0.153,0.223,2.0
1610612744,2019-20,-8.6,0.54,0.462,0.023,0.133,0.286,-15.3
1610612745,2019-20,2.7,0.578,0.494,0.026,0.19,0.356,5.8
1610612754,2019-20,1.9,0.565,0.52,0.089,0.156,0.229,3.1
1610612746,2019-20,6.3,0.577,0.532,0.028,0.191,0.327,12.2
1610612747,2019-20,5.6,0.573,0.539,0.028,0.198,0.308,8.5
1610612763,2019-20,-1.0,0.561,0.507,0.11,0.163,0.211,0.3
1610612748,2019-20,2.7,0.587,0.525,0.055,0.159,0.246,5.2
1610612749,2019-20,9.4,0.583,0.562,0.068,0.239,0.363,15.4
1610612750,2019-20,-4.0,0.551,0.472,0.075,0.168,0.278,-1.5
1610612740,2019-20,-1.3,0.568,0.495,0.092,0.141,0.291,5.1
1610612752,2019-20,-6.5,0.531,0.461,0.067,0.131,0.271,-5.9
1610612760,2019-20,2.1,0.573,0.519,0.012,0.153,0.228,6.9
1610612753,2019-20,-1.3,0.544,0.496,0.068,0.153,0.258,0.9
1610612755,2019-20,2.3,0.566,0.523,0.091,0.194,0.315,5.2
1610612756,2019-20,0.5,0.576,0.512,0.012,0.138,0.294,2.7
1610612757,2019-20,-1.1,0.57,0.486,0.013,0.168,0.294,1.4
1610612758,2019-20,-1.9,0.566,0.479,0.021,0.124,0.29,-4.0
1610612759,2019-20,-0.9,0.572,0.502,0.3,0.25,0.267,33.3
1610612761,2019-20,6.1,0.574,0.53,0.0,0.191,0.222,-5.5
1610612762,2019-20,2.5,0.585,0.513,0.104,0.151,0.162,6.2
1610612764,2019-20,-4.5,0.562,0.473,0.024,0.143,0.338,-4.5
1610612737,2020-21,2.2,0.581,0.511,0.155,0.158,0.193,6.6
1610612738,2020-21,1.2,0.574,0.501,0.021,0.152,0.298,3.0
1610612751,2020-21,4.2,0.61,0.532,0.127,0.174,0.175,-4.5
1610612766,2020-21,-1.9,0.564,0.489,0.0,0.211,0.22,-5.4
1610612741,2020-21,-1.1,0.575,0.499,0.059,0.168,0.292,-7.0
1610612739,2020-21,-8.3,0.543,0.46,0.106,0.138,0.163,-5.6
1610612742,2020-21,2.3,0.582,0.51,0.024,0.179,0.35,3.9
1610612743,2020-21,4.8,0.588,0.525,0.087,0.201,0.293,7.7
1610612765,2020-21,-4.5,0.556,0.473,0.095,0.129,0.163,-4.9
1610612744,2020-21,1.1,0.583,0.51,0.013,0.181,0.331,4.6
1610612745,2020-21,-7.4,0.553,0.451,0.055,0.139,0.255,-3.8
1610612754,2020-21,0.1,0.575,0.502,0.066,0.154,0.239,-1.9
1610612746,2020-21,6.1,0.599,0.53,0.034,0.17,0.282,12.2
1610612747,2020-21,2.9,0.569,0.517,0.02,0.191,0.31,9.2
1610612763,2020-21,1.2,0.56,0.511,0.134,0.163,0.217,3.8
1610612748,2020-21,-0.1,0.581,0.509,0.0,0.455,0.286,66.7
1610612749,2020-21,5.8,0.593,0.533,0.048,0.196,0.32,9.8
1610612750,2020-21,-5.3,0.555,0.469,0.075,0.155,0.286,-0.1
1610612740,2020-21,-0.3,0.57,0.508,0.081,0.161,0.287,2.1
1610612752,2020-21,2.4,0.559,0.502,0.031,0.158,0.285,3.0
1610612760,2020-21,-10.6,0.539,0.442,0.015,0.146,0.283,-7.7
1610612753,2020-21,-9.3,0.527,0.45,0.126,0.145,0.135,-6.5
1610612755,2020-21,5.5,0.579,0.536,0.078,0.203,0.352,12.0
1610612756,2020-21,5.9,0.597,0.534,0.012,0.15,0.221,6.5
1610612757,2020-21,1.8,0.577,0.493,0.012,0.158,0.306,4.0
1610612758,2020-21,-3.8,0.578,0.481,0.051,0.148,0.191,-3.3
1610612759,2020-21,-1.5,0.554,0.493,0.019,0.139,0.255,-2.5
1610612761,2020-21,-0.4,0.567,0.486,0.078,0.132,0.202,3.8
1610612762,2020-21,9.0,0.597,0.542,0.11,0.165,0.166,15.9
1610612764,2020-21,-1.6,0.569,0.496,0.043,0.164,0.295,-1.2
1610612737,2021-22,1.6,0.581,0.509,0.019,0.161,0.333,2.3
1610612738,2021-22,7.4,0.578,0.547,0.0,0.182,0.2,-100.0
1610612751,2021-22,0.9,0.576,0.512,0.015,0.18,0.31,6.5
1610612766,2021-22,0.5,0.572,0.504,0.092,0.15,0.198,3.0
1610612741,2021-22,-0.5,0.579,0.496,0.021,0.148,0.308,1.1
1610612739,2021-22,2.1,0.571,0.517,0.0,0.519,0.438,8.3
1610612742,2021-22,3.5,0.572,0.511,0.025,0.191,0.368,3.5
1610612743,2021-22,2.3,0.59,0.516,0.09,0.23,0.309,8.4
1610612765,2021-22,-7.7,0.533,0.45,0.017,0.112,0.253,-7.8
1610612744,2021-22,5.5,0.582,0.536,0.015,0.155,0.293,10.7
1610612745,2021-22,-8.3,0.565,0.451,0.051,0.142,0.233,-9.1
1610612754,2021-22,-3.6,0.564,0.478,0.0,0.4,0.5,133.3
1610612746,2021-22,0.0,0.564,0.502,0.011,0.148,0.329,4.2
1610612747,2021-22,-2.9,0.567,0.482,0.111,0.376,0.286,67.8
1610612763,2021-22,5.3,0.553,0.53,0.037,0.163,0.33,4.1
1610612748,2021-22,4.5,0.584,0.529,0.055,0.164,0.26,6.1
1610612749,2021-22,3.2,0.58,0.516,0.06,0.21,0.34,8.0
1610612750,2021-22,2.7,0.573,0.504,0.074,0.159,0.272,5.3
1610612740,2021-22,-0.8,0.557,0.5,0.047,0.179,0.287,9.8
1610612752,2021-22,-0.4,0.55,0.491,0.032,0.129,0.217,5.8
1610612760,2021-22,-8.0,0.53,0.451,0.017,0.134,0.298,-6.4
1610612753,2021-22,-8.1,0.538,0.458,0.074,0.144,0.206,-3.7
1610612755,2021-22,2.8,0.578,0.517,0.068,0.212,0.375,7.9
1610612756,2021-22,7.5,0.581,0.548,0.134,0.152,0.214,5.8
1610612757,2021-22,-9.1,0.55,0.447,0.101,0.142,0.233,-0.1
1610612758,2021-22,-5.2,0.561,0.473,0.092,0.161,0.221,-0.6
1610612759,2021-22,0.2,0.556,0.51,0.031,0.163,0.268,1.9
1610612761,2021-22,2.2,0.543,0.494,0.017,0.162,0.159,-16.5
1610612762,2021-22,6.2,0.589,0.528,0.114,0.177,0.166,9.6
1610612764,2021-22,-3.4,0.568,0.496,0.068,0.15,0.286,0.4
1610612737,2022-23,0.1,0.579,0.5,0.0,0.162,0.385,60.0
