team_id,team_abbreviation,season,top1_pie,top1_ts_pct,top1_efg_pct,top1_usg_pct,top1_ast_to,top1_stl,top1_blk,top1_def_rating,top1_net_rating,top1_oreb_pct,top1_dreb_pct
1610612756,PHX,2023-24,0.141,0.653,0.59,0.256,1.3,0.5,1.5,129.4,-18.8,0.007,0.154
1610612757,POR,2015-16,0.177,1.333,1.333,0.176,0.0,0.0,0.0,125.0,-18.8,0.0,0.0
1610612757,POR,2016-17,0.204,0.333,0.333,0.171,1.33,0.0,1.0,82.9,22.9,0.0,0.5
1610612757,POR,2017-18,0.364,1.0,1.0,0.19,0.0,0.0,0.0,66.7,57.1,0.0,0.5
1610612757,POR,2018-19,0.13,0.566,0.508,0.286,1.77,1.7,0.3,112.0,-1.3,0.011,0.102
1610612757,POR,2019-20,0.141,0.618,0.508,0.266,1.21,0.5,0.3,113.3,-15.6,0.006,0.083
1610612757,POR,2020-21,0.246,0.75,0.75,0.19,0.0,0.0,0.0,100.0,0.0,0.2,0.125
1610612758,SAC,2022-23,0.371,0.667,0.667,0.353,0.0,0.0,0.0,63.6,72.7,0.125,0.25
1610612759,SAS,2015-16,0.174,0.597,0.551,0.274,1.75,2.6,1.4,101.7,8.8,0.042,0.142
1610612759,SAS,2016-17,0.213,0.672,0.587,0.29,2.12,1.7,0.5,108.3,11.2,0.048,0.18
1610612759,SAS,2017-18,0.176,1.0,1.0,0.077,0.0,0.0,0.0,76.9,31.4,0.0,0.125
1610612759,SAS,2018-19,0.286,1.0,1.0,0.1,0.0,0.0,0.0,69.6,22.4,0.133,0.333
1610612760,OKC,2015-16,0.385,0.5,0.5,0.12,0.0,0.0,0.0,70.0,6.2,0.083,0.0
1610612760,OKC,2016-17,0.231,0.511,0.431,0.452,1.8,2.4,0.4,106.0,2.6,0.043,0.233
1610612760,OKC,2017-18,0.176,0.493,0.444,0.378,1.45,1.5,0.0,106.8,-7.4,0.042,0.246
1610612760,OKC,2018-19,0.167,0.5,0.5,0.167,0.0,0.0,0.3,63.6,-18.2,0.0,0.0
1610612760,OKC,2019-20,0.157,0.65,0.597,0.142,1.0,0.0,0.4,98.1,0.0,0.014,0.288
1610612760,OKC,2020-21,0.042,0.419,0.354,0.245,1.5,0.3,0.0,135.3,-28.9,0.0,0.15
1610612760,OKC,2023-24,0.183,0.582,0.531,0.312,2.91,1.3,1.7,104.4,6.4,0.019,0.152
1610612760,OKC,2024-25,0.179,0.574,0.494,0.322,2.5,1.7,0.9,104.8,9.7,0.025,0.111
1610612761,TOR,2015-16,0.201,0.601,0.567,0.212,0.61,0.8,1.2,100.8,0.1,0.143,0.293
1610612761,TOR,2016-17,0.186,0.521,0.5,0.15,0.0,0.0,0.0,60.0,60.0,0.0,0.0
1610612761,TOR,2017-18,0.16,0.599,0.551,0.246,0.63,0.4,1.5,110.6,3.4,0.13,0.302
1610612761,TOR,2018-19,0.192,0.619,0.545,0.31,1.27,1.7,0.7,104.5,8.3,0.058,0.172
1610612761,TOR,2019-20,0.182,0.702,0.677,0.215,1.08,0.2,1.3,101.5,7.2,0.065,0.235
1610612761,TOR,2021-22,0.444,1.136,0.0,0.111,0.0,0.0,0.0,71.4,0.0,0.0,0.333
1610612762,UTA,2016-17,0.151,0.598,0.516,0.273,1.54,0.9,0.3,111.6,-8.7,0.018,0.155
1610612762,UTA,2017-18,0.188,0.5,0.5,0.4,0.0,0.0,0.0,100.0,100.0,0.333,0.0
1610612762,UTA,2018-19,0.196,0.665,0.639,0.206,0.8,0.8,1.8,96.7,3.3,0.135,0.198
1610612762,UTA,2019-20,0.195,0.696,0.634,0.37,1.17,1.0,0.3,116.1,6.5,0.026,0.117
1610612762,UTA,2020-21,0.162,0.602,0.553,0.369,1.96,1.1,0.2,120.9,3.1,0.009,0.122
1610612762,UTA,2021-22,0.593,1.025,1.0,0.167,0.0,1.0,0.0,72.7,36.4,0.0,0.167
1610612763,MEM,2015-16,0.113,0.616,0.561,0.198,1.67,0.5,0.3,114.9,-25.8,0.049,0.141
1610612763,MEM,2016-17,0.203,0.595,0.6,0.2,0.0,0.0,0.0,116.7,-21.0,0.0,0.0
1610612763,MEM,2020-21,1.333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.7,0.0,0.25
1610612763,MEM,2021-22,0.178,0.549,0.486,0.304,2.75,2.0,0.4,109.4,5.3,0.035,0.172
1610612763,MEM,2022-23,0.135,0.524,0.486,0.287,2.06,1.8,0.2,110.0,-3.7,0.035,0.136
1610612763,MEM,2024-25,0.254,0.694,0.5,0.167,1.0,0.0,1.5,78.0,-17.1,0.059,0.087
1610612764,WAS,2016-17,0.172,0.709,0.667,0.268,0.0,0.0,0.0,86.8,26.7,0.0,0.0
1610612764,WAS,2017-18,0.17,0.528,0.457,0.325,2.56,2.3,1.3,111.3,-0.9,0.014,0.142
1610612764,WAS,2020-21,0.141,0.51,0.4,0.149,1.0,0.0,0.0,97.4,-33.5,0.0,0.188
1610612765,DET,2015-16,0.16,1.0,1.0,0.143,0.0,0.5,0.0,132.6,-32.6,0.0,0.091
1610612765,DET,2018-19,0.222,0.563,0.542,0.375,0.0,0.7,0.0,80.6,25.8,0.0,0.2
1610612765,DET,2024-25,0.145,0.509,0.446,0.304,1.63,1.8,1.3,107.6,1.5,0.024,0.17
1610612766,CHA,2015-16,0.25,0.611,0.611,0.346,0.0,0.0,0.0,108.0,-28.8,0.067,0.0
