team_id,team_name,season,efg_pct,ts_pct,off_rating,def_rating,net_rating,pace,pie,oreb_pct,dreb_pct,tm_tov_pct,ast_to,three_point_rate,free_throw_rate,playoff_stage
1610612752,New York Knicks,2020-21,0.458,0.505,102.1,109.7,-7.6,94.9,0.448,0.289,0.781,0.128,1.52,0.3518518518518518,0.2523148148148148,First Round
1610612755,Philadelphia 76ers,2020-21,0.561,0.589,115.6,107.5,8.1,100.88,0.552,0.26,0.734,0.128,1.94,0.331002331002331,0.34149184149184153,Second Round
1610612756,Phoenix Suns,2020-21,0.547,0.585,113.2,109.0,4.2,96.09,0.536,0.234,0.725,0.124,1.95,0.34941176470588237,0.21882352941176472,Finals
1610612757,Portland Trail Blazers,2020-21,0.567,0.608,122.1,122.9,-0.7,94.79,0.484,0.277,0.68,0.121,1.93,0.4439411098527747,0.2570781426953567,First Round
1610612762,Utah Jazz,2020-21,0.579,0.616,120.1,121.7,-1.6,97.05,0.485,0.283,0.735,0.138,1.46,0.517814726840855,0.28859857482185275,Second Round
1610612764,Washington Wizards,2020-21,0.498,0.543,107.0,121.1,-14.1,102.6,0.426,0.29,0.717,0.13,1.67,0.27313769751693,0.327313769751693,First Round
1610612737,Atlanta Hawks,2021-22,0.513,0.554,104.1,115.9,-11.8,94.0,0.43,0.246,0.695,0.175,1.13,0.4475703324808184,0.2813299232736573,First Round
1610612738,Boston Celtics,2021-22,0.533,0.574,110.3,106.3,3.9,95.79,0.529,0.271,0.713,0.154,1.67,0.4474327628361858,0.28361858190709044,Finals
1610612751,Brooklyn Nets,2021-22,0.577,0.61,115.0,119.2,-4.1,95.0,0.468,0.29,0.642,0.161,1.46,0.35000000000000003,0.33076923076923076,First Round
1610612741,Chicago Bulls,2021-22,0.461,0.493,94.4,108.3,-13.8,101.1,0.433,0.185,0.776,0.129,1.77,0.4079822616407982,0.15964523281596452,First Round
1610612742,Dallas Mavericks,2021-22,0.546,0.584,113.9,113.3,0.6,93.31,0.48,0.207,0.706,0.109,1.88,0.5136138613861386,0.2883663366336634,Conference Finals
1610612743,Denver Nuggets,2021-22,0.543,0.586,113.9,121.9,-8.0,96.7,0.455,0.339,0.755,0.17,1.52,0.37922705314009664,0.30434782608695654,First Round
1610612744,Golden State Warriors,2021-22,0.561,0.59,114.5,109.6,4.9,97.61,0.53,0.283,0.731,0.149,1.86,0.4332171893147503,0.2299651567944251,Champion
1610612763,Memphis Grizzlies,2021-22,0.507,0.545,109.8,107.1,2.7,102.67,0.51,0.29,0.725,0.137,1.8,0.39211391018619934,0.2968236582694414,Second Round
1610612748,Miami Heat,2021-22,0.509,0.55,110.7,107.0,3.8,93.97,0.515,0.303,0.748,0.138,1.69,0.4079718640093786,0.25322391559202817,Conference Finals
1610612749,Milwaukee Bucks,2021-22,0.498,0.529,103.4,102.7,0.6,99.0,0.507,0.264,0.804,0.138,1.52,0.3670454545454545,0.23636363636363636,Second Round
1610612750,Minnesota Timberwolves,2021-22,0.527,0.579,105.8,111.7,-5.9,102.92,0.47,0.234,0.688,0.171,1.29,0.43536585365853664,0.34146341463414637,First Round
1610612740,New Orleans Pelicans,2021-22,0.518,0.566,115.6,117.8,-2.2,94.75,0.467,0.387,0.77,0.153,1.47,0.31198102016607354,0.3416370106761566,First Round
1610612755,Philadelphia 76ers,2021-22,0.545,0.592,112.3,111.3,1.0,92.53,0.506,0.259,0.702,0.158,1.47,0.42528735632183906,0.28991060025542786,Second Round
1610612756,Phoenix Suns,2021-22,0.557,0.591,114.9,114.9,0.0,94.12,0.523,0.278,0.686,0.142,1.93,0.3285024154589372,0.22826086956521738,Second Round
1610612761,Toronto Raptors,2021-22,0.503,0.542,109.6,119.5,-9.9,92.15,0.443,0.272,0.714,0.106,2.07,0.38139534883720927,0.2441860465116279,First Round
1610612762,Utah Jazz,2021-22,0.495,0.546,108.4,114.8,-6.4,91.25,0.481,0.284,0.804,0.128,1.47,0.37721518987341773,0.33544303797468356,First Round
1610612737,Atlanta Hawks,2022-23,0.529,0.558,114.3,118.8,-4.5,101.67,0.458,0.297,0.764,0.127,1.91,0.387331256490135,0.17653167185877466,First Round
1610612738,Boston Celtics,2022-23,0.56,0.594,116.1,112.9,3.2,95.83,0.526,0.266,0.716,0.129,1.95,0.45263157894736844,0.23391812865497075,Conference Finals
1610612751,Brooklyn Nets,2022-23,0.513,0.542,102.5,114.3,-11.8,90.5,0.446,0.173,0.632,0.136,1.82,0.4463130659767141,0.2367399741267788,First Round
1610612739,Cleveland Cavaliers,2022-23,0.513,0.544,101.9,107.3,-5.4,92.6,0.474,0.276,0.606,0.171,1.39,0.3903061224489796,0.2372448979591837,First Round
1610612743,Denver Nuggets,2022-23,0.557,0.593,118.2,110.2,8.0,95.18,0.553,0.3,0.762,0.121,2.22,0.3488372093023256,0.25697674418604655,Champion
1610612744,Golden State Warriors,2022-23,0.525,0.553,110.9,111.1,-0.2,101.92,0.498,0.304,0.708,0.141,1.96,0.4540598290598291,0.21047008547008547,Second Round
1610612746,LA Clippers,2022-23,0.529,0.577,116.3,122.5,-6.2,99.5,0.437,0.323,0.682,0.141,1.54,0.38148984198645597,0.2979683972911964,First Round
1610612747,Los Angeles Lakers,2022-23,0.529,0.573,112.7,110.3,2.4,99.04,0.532,0.261,0.709,0.12,2.09,0.3478760045924225,0.2847301951779564,Conference Finals
1610612763,Memphis Grizzlies,2022-23,0.465,0.504,102.8,110.0,-7.2,100.18,0.436,0.281,0.696,0.128,1.79,0.40398740818468,0.20146904512067157,First Round
1610612748,Miami Heat,2022-23,0.531,0.567,113.8,111.9,1.9,94.87,0.498,0.272,0.708,0.123,2.01,0.38824884792626735,0.22811059907834103,Finals
1610612749,Milwaukee Bucks,2022-23,0.559,0.582,114.2,119.0,-4.8,101.98,0.478,0.273,0.787,0.138,1.86,0.44492440604751626,0.23110151187904968,First Round
1610612750,Minnesota Timberwolves,2022-23,0.525,0.565,109.6,117.2,-7.7,94.82,0.459,0.229,0.693,0.133,1.77,0.38983050847457634,0.2929782082324455,First Round
1610612752,New York Knicks,2022-23,0.492,0.537,107.7,107.8,0.0,92.73,0.5,0.348,0.707,0.158,1.28,0.4012269938650307,0.32883435582822085,Second Round
1610612755,Philadelphia 76ers,2022-23,0.51,0.555,110.2,112.1,-2.0,92.08,0.483,0.296,0.766,0.133,1.54,0.4035714285714286,0.2273809523809524,Second Round
1610612756,Phoenix Suns,2022-23,0.55,0.588,116.1,118.3,-2.2,98.41,0.495,0.27,0.681,0.123,2.03,0.2972350230414747,0.2695852534562212,Second Round
1610612758,Sacramento Kings,2022-23,0.493,0.532,109.3,111.6,-2.2,103.93,0.467,0.339,0.7,0.136,1.56,0.4152719665271967,0.2688284518828452,First Round
1610612738,Boston Celtics,2023-24,0.555,0.589,116.8,108.2,8.6,92.6,0.55,0.276,0.762,0.123,2.07,0.4797136038186158,0.23031026252983294,Champion
1610612739,Cleveland Cavaliers,2023-24,0.51,0.54,104.7,111.1,-6.4,93.5,0.473,0.233,0.699,0.13,1.75,0.39328537170263783,0.20383693045563547,Second Round
1610612742,Dallas Mavericks,2023-24,0.54,0.569,113.3,110.7,2.6,93.48,0.509,0.298,0.722,0.134,1.68,0.3987951807228916,0.27349397590361446,Finals
1610612743,Denver Nuggets,2023-24,0.519,0.552,109.5,110.9,-1.4,93.67,0.49,0.253,0.757,0.129,2.08,0.37089201877934275,0.1960093896713615,Second Round
1610612754,Indiana Pacers,2023-24,0.576,0.596,120.0,118.8,1.2,93.76,0.516,0.304,0.682,0.126,2.49,0.3721719457013574,0.1832579185520362,Conference Finals
1610612746,LA Clippers,2023-24,0.506,0.547,109.5,115.9,-6.4,92.0,0.457,0.311,0.683,0.147,1.49,0.38564476885644766,0.26399026763990263,First Round
1610612747,Los Angeles Lakers,2023-24,0.544,0.573,109.7,113.4,-3.7,96.4,0.488,0.212,0.72,0.113,2.22,0.3475177304964539,0.22222222222222224,First Round
1610612748,Miami Heat,2023-24,0.507,0.533,100.7,117.7,-17.0,91.6,0.418,0.168,0.727,0.127,1.83,0.4187192118226601,0.14778325123152708,First Round
1610612749,Milwaukee Bucks,2023-24,0.538,0.576,116.8,119.4,-2.6,92.89,0.479,0.262,0.697,0.113,2.08,0.3650057937427578,0.24565469293163383,First Round
1610612750,Minnesota Timberwolves,2023-24,0.538,0.576,114.8,110.9,3.9,93.38,0.518,0.302,0.762,0.13,1.96,0.39324487334137515,0.28468033775633295,Conference Finals
1610612740,New Orleans Pelicans,2023-24,0.448,0.489,93.5,109.6,-16.2,95.88,0.401,0.295,0.797,0.188,1.08,0.38816568047337274,0.1893491124260355,First Round
1610612752,New York Knicks,2023-24,0.521,0.558,118.1,120.6,-2.5,92.22,0.478,0.368,0.694,0.121,2.01,0.3621867881548975,0.27790432801822323,Second Round
1610612760,Oklahoma City Thunder,2023-24,0.53,0.563,110.9,104.5,6.4,95.2,0.545,0.253,0.683,0.118,2.06,0.3962703962703963,0.21561771561771562,Second Round
1610612753,Orlando Magic,2023-24,0.481,0.527,104.9,100.0,4.9,95.71,0.503,0.304,0.757,0.151,1.34,0.3964285714285714,0.2988095238095238,First Round
1610612755,Philadelphia 76ers,2023-24,0.525,0.574,116.9,116.7,0.2,91.09,0.501,0.316,0.63,0.128,1.94,0.4285714285714286,0.2965186074429772,First Round
1610612756,Phoenix Suns,2023-24,0.528,0.586,109.3,123.2,-13.9,95.25,0.43,0.214,0.608,0.151,1.39,0.34300791556728233,0.36939313984168864,First Round
1610612738,Boston Celtics,2024-25,0.528,0.569,114.4,108.1,6.2,91.68,0.535,0.308,0.669,0.143,1.52,0.4746987951807229,0.27228915662650605,Second Round
1610612739,Cleveland Cavaliers,2024-25,0.551,0.597,122.6,110.7,11.8,97.39,0.542,0.33,0.764,0.124,1.89,0.4669703872437358,0.31776765375854216,Second Round
1610612743,Denver Nuggets,2024-25,0.514,0.552,109.3,114.8,-5.5,96.21,0.47,0.339,0.721,0.161,1.43,0.3953757225433526,0.27283236994219656,Second Round
1610612765,Detroit Pistons,2024-25,0.511,0.562,109.4,109.8,-0.4,97.92,0.498,0.325,0.699,0.169,1.21,0.3784764207980653,0.33615477629987905,First Round
1610612744,Golden State Warriors,2024-25,0.511,0.545,108.6,112.0,-3.4,94.83,0.473,0.313,0.654,0.152,1.61,0.45380116959064326,0.23976608187134502,Second Round
1610612745,Houston Rockets,2024-25,0.51,0.548,111.5,111.7,-0.2,93.21,0.506,0.358,0.708,0.145,1.44,0.34386391251518833,0.3475091130012151,First Round
1610612754,Indiana Pacers,2024-25,0.562,0.599,114.8,112.7,2.1,98.52,0.529,0.263,0.686,0.144,1.84,0.3997627520759194,0.2930011862396204,Finals
1610612746,LA Clippers,2024-25,0.557,0.581,115.9,115.3,0.6,92.06,0.506,0.284,0.662,0.128,2.17,0.3900709219858156,0.23167848699763596,First Round
1610612747,Los Angeles Lakers,2024-25,0.525,0.57,109.1,116.7,-7.6,92.0,0.469,0.275,0.635,0.159,1.45,0.49238578680203043,0.26903553299492383,First Round
1610612763,Memphis Grizzlies,2024-25,0.476,0.525,97.6,117.4,-19.8,102.63,0.401,0.293,0.708,0.187,1.06,0.39746543778801846,0.23617511520737328,First Round
1610612748,Miami Heat,2024-25,0.529,0.547,102.7,136.2,-33.5,92.75,0.351,0.267,0.684,0.172,1.33,0.48834355828220855,0.16319018404907976,First Round
1610612749,Milwaukee Bucks,2024-25,0.535,0.564,111.1,118.0,-6.9,97.47,0.442,0.256,0.778,0.131,1.83,0.4328018223234624,0.25512528473804097,First Round
1610612750,Minnesota Timberwolves,2024-25,0.539,0.574,113.6,110.5,3.1,96.13,0.511,0.343,0.694,0.163,1.54,0.43391812865497076,0.25614035087719295,Conference Finals
1610612752,New York Knicks,2024-25,0.519,0.559,112.7,113.2,-0.5,95.89,0.498,0.33,0.695,0.142,1.44,0.36647398843930634,0.29942196531791904,Conference Finals
