team_id,season,net_rating,ts_pct,pie,top1_oreb_pct,top1_pie,top1_usg_pct,top1_net_rating,playoff_stage
1610612743,2021-22,-8.0,0.586,0.455,0.063,0.226,0.326,5.8,First Round
1610612744,2021-22,4.9,0.59,0.53,0.015,0.158,0.304,7.2,Champion
1610612763,2021-22,2.7,0.545,0.51,0.035,0.178,0.304,5.3,Second Round
1610612748,2021-22,3.8,0.55,0.515,0.063,0.205,0.28,7.7,Conference Finals
1610612749,2021-22,0.6,0.529,0.507,0.054,0.208,0.373,7.1,Second Round
1610612750,2021-22,-5.9,0.579,0.47,0.091,0.25,0.375,-21.4,First Round
1610612740,2021-22,-2.2,0.566,0.467,0.191,0.147,0.222,-4.7,First Round
1610612755,2021-22,1.0,0.592,0.506,0.0,0.145,0.154,9.6,Second Round
1610612756,2021-22,0.0,0.591,0.523,0.136,0.265,0.25,70.1,Second Round
1610612761,2021-22,-9.9,0.542,0.443,0.0,0.444,0.111,0.0,First Round
1610612762,2021-22,-6.4,0.546,0.481,0.0,0.593,0.167,36.4,First Round
1610612737,2022-23,-4.5,0.558,0.458,0.04,0.132,0.244,-8.1,First Round
1610612738,2022-23,3.2,0.594,0.526,0.139,0.174,0.11,4.5,Conference Finals
1610612751,2022-23,-11.8,0.542,0.446,0.048,0.137,0.129,-9.7,First Round
1610612739,2022-23,-5.4,0.544,0.474,0.25,0.344,0.333,21.4,First Round
1610612743,2022-23,8.0,0.593,0.553,0.092,0.21,0.301,9.7,Champion
1610612744,2022-23,-0.2,0.553,0.498,0.164,0.149,0.103,7.9,Second Round
1610612746,2022-23,-6.2,0.577,0.437,0.034,0.187,0.285,-4.9,First Round
1610612747,2022-23,2.4,0.573,0.532,0.064,0.168,0.237,3.7,Conference Finals
1610612763,2022-23,-7.2,0.504,0.436,0.035,0.135,0.287,-3.7,First Round
1610612748,2022-23,1.9,0.567,0.498,0.052,0.158,0.281,-1.0,Finals
1610612749,2022-23,-4.8,0.582,0.478,0.0,0.179,0.231,-9.8,First Round
1610612750,2022-23,-7.7,0.565,0.459,0.017,0.166,0.328,-2.3,First Round
1610612752,2022-23,0.0,0.537,0.5,0.02,0.165,0.277,3.8,Second Round
1610612755,2022-23,-2.0,0.555,0.483,0.0,0.154,0.156,-9.8,Second Round
1610612756,2022-23,-2.2,0.588,0.495,0.028,0.169,0.283,-3.4,Second Round
1610612758,2022-23,-2.2,0.532,0.467,0.125,0.371,0.353,72.7,First Round
1610612738,2023-24,8.6,0.589,0.55,0.083,0.214,0.103,40.7,Champion
1610612739,2023-24,-6.4,0.54,0.473,0.122,0.213,0.189,-4.9,Second Round
1610612742,2023-24,2.6,0.569,0.509,0.018,0.177,0.324,4.3,Finals
1610612743,2023-24,-1.4,0.552,0.49,0.0,0.231,0.115,-12.1,Second Round
1610612754,2023-24,1.2,0.596,0.516,0.0,1.0,1.0,50.0,Conference Finals
1610612746,2023-24,-6.4,0.547,0.457,0.0,0.235,0.345,8.0,First Round
1610612747,2023-24,-3.7,0.573,0.488,0.078,0.178,0.246,-3.2,First Round
1610612748,2023-24,-17.0,0.533,0.418,0.118,0.2,0.286,-15.1,First Round
1610612749,2023-24,-2.6,0.576,0.479,0.012,0.144,0.3,-13.8,First Round
1610612750,2023-24,3.9,0.576,0.518,0.071,0.454,0.254,36.8,Conference Finals
1610612740,2023-24,-16.2,0.489,0.401,0.176,0.158,0.28,-20.4,First Round
1610612752,2023-24,-2.5,0.558,0.478,0.088,0.181,0.06,10.9,Second Round
1610612760,2023-24,6.4,0.563,0.545,0.019,0.183,0.312,6.4,Second Round
1610612753,2023-24,4.9,0.527,0.503,0.049,0.164,0.332,3.4,First Round
1610612755,2023-24,0.2,0.574,0.501,0.084,0.176,0.358,9.3,First Round
1610612756,2023-24,-13.9,0.586,0.43,0.007,0.141,0.256,-18.8,First Round
1610612738,2024-25,6.2,0.569,0.535,0.105,0.262,0.182,-30.8,Second Round
1610612739,2024-25,11.8,0.597,0.542,0.115,0.212,0.282,46.0,Second Round
1610612743,2024-25,-5.5,0.552,0.47,0.049,0.18,0.278,-1.5,Second Round
1610612765,2024-25,-0.4,0.562,0.498,0.024,0.145,0.304,1.5,First Round
1610612744,2024-25,-3.4,0.545,0.473,0.007,0.152,0.265,3.7,Second Round
1610612745,2024-25,-0.2,0.548,0.506,0.077,0.157,0.278,7.0,First Round
1610612754,2024-25,2.1,0.599,0.529,0.031,0.16,0.246,-3.5,Finals
1610612746,2024-25,0.6,0.581,0.506,0.0,0.354,0.222,64.5,First Round
1610612747,2024-25,-7.6,0.57,0.469,0.286,1.0,0.455,16.7,First Round
1610612763,2024-25,-19.8,0.525,0.401,0.059,0.254,0.167,-17.1,First Round
1610612748,2024-25,-33.5,0.547,0.351,0.0,0.137,0.1,0.8,First Round
1610612749,2024-25,-6.9,0.564,0.442,0.101,0.211,0.352,-7.0,First Round
1610612750,2024-25,3.1,0.574,0.511,0.214,0.233,0.243,-1.4,Conference Finals
1610612752,2024-25,-0.5,0.559,0.498,0.0,0.215,0.077,76.4,Conference Finals
1610612760,2024-25,8.6,0.566,0.547,0.025,0.179,0.322,9.7,Champion
1610612753,2024-25,-13.7,0.501,0.402,0.0,0.233,0.222,11.1,First Round
1610612737,2025-26,-4.6,0.56,0.478,0.0,0.141,0.331,-0.8,First Round
1610612738,2025-26,33.0,0.617,0.697,0.0,0.429,0.0,150.0,First Round
1610612739,2025-26,10.5,0.648,0.542,0.063,0.189,0.319,17.5,First Round
1610612743,2025-26,2.9,0.573,0.533,0.011,0.188,0.259,5.1,First Round
1610612765,2025-26,-10.1,0.539,0.44,0.0,0.444,0.2,40.0,First Round
1610612745,2025-26,-9.6,0.471,0.407,0.086,0.32,0.119,-10.0,First Round
1610612747,2025-26,9.6,0.691,0.593,0.0,0.199,0.217,11.4,First Round
1610612750,2025-26,-2.9,0.564,0.467,0.012,0.127,0.297,-1.1,First Round
1610612752,2025-26,4.6,0.57,0.522,0.129,0.199,0.147,-6.1,First Round
1610612760,2025-26,39.0,0.577,0.731,0.067,0.236,0.243,32.6,First Round
1610612753,2025-26,10.1,0.569,0.56,0.188,0.304,0.094,-33.2,First Round
1610612755,2025-26,-33.0,0.454,0.303,0.0,0.279,0.25,-12.1,First Round
1610612756,2025-26,-39.0,0.462,0.269,0.0,0.327,0.2,-17.3,First Round
1610612757,2025-26,-14.8,0.509,0.461,0.176,0.299,0.184,6.0,First Round
1610612759,2025-26,14.8,0.601,0.539,0.143,0.276,0.176,34.3,First Round
1610612761,2025-26,-10.5,0.616,0.458,0.0,2.0,0.25,60.0,First Round
